Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Johnny Davis,27.0,ATL,SG,53.0,33.0,27.6,4.9,10.7,45.79439252336449,0.1,0.3,33.333333333333336,4.8,10.4,46.15384615384615,46.26168224299066,3.1,3.9,79.48717948717949,0.7,1.7,2.4,5.9,0.8,0.1,2.2,1.9,12.9,No Awards,1982-83
Calvin Murphy,34.0,HOU,PG,64.0,0.0,22.2,5.3,11.8,44.91525423728813,0.1,0.2,50.0,5.2,11.6,44.827586206896555,45.33898305084745,2.2,2.3,95.6521739130435,0.5,0.6,1.2,2.5,0.9,0.1,1.4,2.5,12.8,No Awards,1982-83
Michael Brooks,24.0,SDC,SF,82.0,26.0,30.0,4.9,10.1,48.51485148514852,0.1,0.2,50.0,4.8,9.9,48.48484848484848,49.00990099009901,2.4,3.4,70.58823529411765,2.9,3.4,6.4,3.2,1.4,0.5,2.2,3.6,12.2,No Awards,1982-83
Kenny Carr,27.0,POR,PF,82.0,26.0,28.4,4.4,8.7,50.57471264367817,0.0,0.1,0.0,4.4,8.7,50.57471264367817,50.57471264367817,3.1,4.5,68.88888888888889,2.2,5.0,7.2,1.4,0.8,0.5,2.3,3.7,12.0,No Awards,1982-83
Sly Williams,25.0,NYK,PF,68.0,6.0,20.4,4.6,9.5,48.421052631578945,0.0,0.3,0.0,4.6,9.2,50.0,48.421052631578945,2.6,3.8,68.42105263157895,1.4,2.9,4.3,2.0,1.1,0.0,2.0,2.4,11.9,No Awards,1982-83
Don Collins,24.0,WSB,SF,65.0,21.0,24.2,5.1,9.8,52.0408163265306,0.0,0.1,0.0,5.1,9.7,52.57731958762887,52.0408163265306,1.6,2.1,76.19047619047619,1.8,1.4,3.2,2.0,1.3,0.5,2.2,2.6,11.8,No Awards,1982-83
Jeff Wilkins,27.0,UTA,C,81.0,34.0,28.5,4.8,10.1,47.524752475247524,0.0,0.0,0.0,4.8,10.0,48.0,47.524752475247524,1.9,2.5,76.0,1.9,5.5,7.4,1.6,0.5,0.5,2.3,3.1,11.5,No Awards,1982-83
Ron Brewer,27.0,GSW,SG,53.0,34.0,26.4,4.6,10.6,43.39622641509433,0.1,0.3,33.333333333333336,4.5,10.3,43.689320388349515,43.867924528301884,1.8,2.2,81.81818181818181,0.9,1.1,2.0,1.3,1.3,0.4,1.4,1.8,11.3,No Awards,1982-83
Scott Wedman,30.0,2TM,SF,75.0,35.0,23.9,5.0,10.5,47.61904761904761,0.1,0.4,25.0,4.9,10.1,48.51485148514852,48.09523809523809,1.1,1.4,78.57142857142858,1.3,2.5,3.8,1.6,0.6,0.2,1.7,3.0,11.2,No Awards,1982-83
Kelvin Ransey,24.0,DAL,PG,76.0,4.0,21.1,4.5,9.8,45.91836734693877,0.0,0.2,0.0,4.5,9.6,46.875,45.91836734693877,2.0,2.6,76.92307692307692,0.6,1.4,1.9,3.7,0.8,0.1,1.7,1.4,11.1,No Awards,1982-83
Brian Winters,30.0,MIL,SG,57.0,12.0,23.9,4.5,10.3,43.689320388349515,0.4,1.2,33.333333333333336,4.1,9.1,45.05494505494505,45.631067961165044,1.3,1.5,86.66666666666667,0.6,1.3,1.9,2.7,0.8,0.1,1.4,2.3,10.6,No Awards,1982-83
Tiny Archibald,34.0,BOS,PG,66.0,19.0,27.4,3.6,8.4,42.857142857142854,0.1,0.4,25.0,3.5,8.0,43.75,43.45238095238095,3.3,4.5,73.33333333333333,0.4,1.0,1.4,6.2,0.6,0.1,2.5,1.7,10.5,No Awards,1982-83
